id_venda,data,produto,categoria,quantidade,preco_unit,vendedor,regiao,total_venda
1,2024-01-01,Atomic Habits,Autoajuda,3,44.9,Ana Lima,Centro-Oeste,134.7
2,2024-01-04,Python para Dados,Tecnologia,1,89.9,Fernanda Rocha,Norte,89.9
3,2024-01-08,A Arte da Guerra,Filosofia,4,32.0,Bruno Costa,Centro-Oeste,128.0
4,2024-01-12,Clean Code,Tecnologia,2,95.0,Bruno Costa,Nordeste,190.0
5,2024-01-15,Atomic Habits,Autoajuda,4,44.9,Carlos Mendes,Nordeste,179.6
6,2024-01-19,Cem Anos de Solidão,Literatura,2,39.9,Fernanda Rocha,Norte,79.8
7,2024-01-23,Sapiens,Ciências,2,54.9,Ana Lima,Sul,109.8
8,2024-01-26,Atomic Habits,Autoajuda,4,44.9,Bruno Costa,Sul,179.6
9,2024-01-30,A Arte da Guerra,Filosofia,5,32.0,Fernanda Rocha,Centro-Oeste,160.0
10,2024-02-03,Clean Code,Tecnologia,2,95.0,Fernanda Rocha,Sudeste,190.0
11,2024-02-06,Python para Dados,Tecnologia,2,89.9,Carlos Mendes,Centro-Oeste,179.8
12,2024-02-10,A Arte da Guerra,Filosofia,4,32.0,Bruno Costa,Norte,128.0
13,2024-02-14,A Arte da Guerra,Filosofia,2,32.0,Bruno Costa,Norte,64.0
14,2024-02-18,Sapiens,Ciências,2,54.9,Ana Lima,Norte,109.8
15,2024-02-21,Harry Potter Vol.1,Fantasia,4,49.9,Bruno Costa,Norte,199.6
16,2024-02-25,Clean Code,Tecnologia,4,95.0,Ana Lima,Norte,380.0
17,2024-02-29,O Pequeno Príncipe,Infantil,1,29.9,Bruno Costa,Nordeste,29.9
18,2024-03-03,A Arte da Guerra,Filosofia,5,32.0,Carlos Mendes,Sul,160.0
19,2024-03-07,Harry Potter Vol.1,Fantasia,5,49.9,Bruno Costa,Norte,249.5
20,2024-03-11,O Pequeno Príncipe,Infantil,2,29.9,Ana Lima,Sudeste,59.8
21,2024-03-14,Clean Code,Tecnologia,5,95.0,Ana Lima,Sudeste,475.0
22,2024-03-18,Dom Casmurro,Literatura,2,35.9,Carlos Mendes,Sudeste,71.8
23,2024-03-22,Cem Anos de Solidão,Literatura,1,39.9,Bruno Costa,Sudeste,39.9
24,2024-03-25,Harry Potter Vol.1,Fantasia,4,49.9,Bruno Costa,Nordeste,199.6
25,2024-03-29,Cosmos,Ciências,4,62.5,Carlos Mendes,Sudeste,250.0
26,2024-04-02,Dom Casmurro,Literatura,4,35.9,Bruno Costa,Norte,143.6
27,2024-04-06,Cem Anos de Solidão,Literatura,5,39.9,Bruno Costa,Centro-Oeste,199.5
28,2024-04-09,Sapiens,Ciências,1,54.9,Ana Lima,Sudeste,54.9
29,2024-04-13,Atomic Habits,Autoajuda,5,44.9,Bruno Costa,Nordeste,224.5
30,2024-04-17,Python para Dados,Tecnologia,5,89.9,Bruno Costa,Nordeste,449.5
31,2024-04-20,Cosmos,Ciências,1,62.5,Carlos Mendes,Sudeste,62.5
32,2024-04-24,Sapiens,Ciências,1,54.9,Carlos Mendes,Centro-Oeste,54.9
33,2024-04-28,Clean Code,Tecnologia,1,95.0,Fernanda Rocha,Sudeste,95.0
34,2024-05-01,Sapiens,Ciências,1,54.9,Ana Lima,Nordeste,54.9
35,2024-05-05,Atomic Habits,Autoajuda,4,44.9,Bruno Costa,Sul,179.6
36,2024-05-09,Clean Code,Tecnologia,3,95.0,Bruno Costa,Norte,285.0
37,2024-05-12,Cosmos,Ciências,3,62.5,Fernanda Rocha,Nordeste,187.5
38,2024-05-16,Atomic Habits,Autoajuda,1,44.9,Bruno Costa,Sudeste,44.9
39,2024-05-20,O Pequeno Príncipe,Infantil,3,29.9,Ana Lima,Norte,89.69999999999999
40,2024-05-24,Python para Dados,Tecnologia,3,89.9,Fernanda Rocha,Sudeste,269.70000000000005
41,2024-05-27,Cosmos,Ciências,1,62.5,Ana Lima,Sudeste,62.5
42,2024-05-31,O Pequeno Príncipe,Infantil,3,29.9,Fernanda Rocha,Sul,89.69999999999999
43,2024-06-04,Cem Anos de Solidão,Literatura,5,39.9,Fernanda Rocha,Norte,199.5
44,2024-06-07,Cosmos,Ciências,2,62.5,Carlos Mendes,Norte,125.0
45,2024-06-11,Cem Anos de Solidão,Literatura,2,39.9,Ana Lima,Sul,79.8
46,2024-06-15,Clean Code,Tecnologia,1,95.0,Bruno Costa,Nordeste,95.0
47,2024-06-18,O Pequeno Príncipe,Infantil,4,29.9,Bruno Costa,Sudeste,119.6
48,2024-06-22,Python para Dados,Tecnologia,1,89.9,Ana Lima,Centro-Oeste,89.9
49,2024-06-26,Atomic Habits,Autoajuda,4,44.9,Bruno Costa,Sudeste,179.6
50,2024-06-30,A Arte da Guerra,Filosofia,2,32.0,Bruno Costa,Sudeste,64.0
